League,Home,Away,INC,Date,Time,H_Score,A_Score,WIN,H_Ball_Possession,A_Ball_Possession,H_Goal_Attempts,A_Goal_Attempts,H_Shots_on_Goal,A_Shots_on_Goal,H_Attacks,A_Attacks,H_Dangerous_Attacks,A_Dangerous_Attacks,H_Shots_off_Goal,A_Shots_off_Goal,H_Blocked_Shots,A_Blocked_Shots,H_Free_Kicks,A_Free_Kicks,H_Corner_Kicks,A_Corner_Kicks,H_Offsides,A_Offsides,H_Goalkeeper_Saves,A_Goalkeeper_Saves,H_Fouls,A_Fouls,H_Yellow_Cards,A_Yellow_Cards
premier-league,Fulham,Burnley,"[""35' Goal_Away - Westwood A.(Vydra M.)"", ""40' Yellow_Home - Zambo Andre-Frank(Nadmierna ostrość)"", ""44' Goal_Away - Wood Ch.(Brownhill J.)"", ""83' Yellow_Home - Lemina M.(Podcięcie)""]",10.05.2021,21:00,0,2,Away,68%,32%,21,14,3,5,137,90,88,34,11,6,7,3,11,16,8,4,4,1,3,3,11,10,2,0
premier-league,Arsenal,West Brom,"[""29' Goal_Home - Smith Rowe E.(Saka B.)"", ""35' Goal_Home - Pepe N.(Chambers C.)"", ""62' Yellow_Away - Robson-Kanu H.(Uderzenie łokciem)"", ""67' Goal_Away - Pereira M.(Townsend C.)"", ""70' Yellow_Home - Ceballos D."", ""76' Yellow_Away - Gallagher C.(Zagranie ręką)"", ""90' Goal_Home - Willian""]",09.05.2021,20:00,3,1,Home,66%,34%,15,12,7,1,105,77,53,39,5,7,3,4,11,8,6,6,1,2,0,4,7,9,1,2
premier-league,West Ham,Everton,"[""24' Goal_Away - Calvert-Lewin D.(Godfrey B.)"", ""72' Yellow_Home - Soucek T.(Podcięcie)"", ""75' Yellow_Home - Lingard J.(Przytrzymywanie)"", ""77' Yellow_Away - Allan(Podcięcie)""]",09.05.2021,17:30,0,1,Away,69%,31%,11,9,0,3,138,70,76,24,6,4,5,2,12,10,5,6,2,2,2,0,8,10,2,1
premier-league,Aston Villa,Manchester United,"[""24' Goal_Home - Traore B."", ""45+1' Yellow_Home - Watkins O.(Podcięcie)"", ""52' Goal_Away - Fernandes B.(Penalty )"", ""56' Goal_Away - Greenwood M.(Wan-Bissaka A.)"", ""67' Yellow_Away - Maguire H.(Przytrzymywanie)"", ""79' Yellow_Home - McGinn J.(Nadmierna ostrość)"", ""87' Goal_Away - Cavani E.(Rashford M.)"", ""89' Red_Card_Home - Żółta kartka / Watkins O.(Symulowanie)""]",09.05.2021,15:05,1,3,Away,41%,59%,11,18,5,7,85,95,35,66,3,4,3,7,19,12,5,6,0,0,4,4,13,18,3,1
premier-league,Wolves,Brighton,"[""13' Goal_Away - Dunk L.(Gross P.)"", ""53' Red_Card_Away - Dunk L.(Przytrzymywanie)"", ""76' Goal_Home - Traore A.(Silva F.)"", ""80' Yellow_Home - Kilman M.(Faul)"", ""83' Yellow_Home - Coady C.(Faul)"", ""85' Yellow_Away - Sanchez R.(Niesportowe zachowanie)"", ""90' Goal_Home - Gibbs-White M."", ""90+2' Yellow_Away - Bissouma Y.(Faul)"", ""90+7' Red_Card_Away - Maupay N.(Poza boiskiem, Niesportowe zachowanie)""]",09.05.2021,13:00,2,1,Home,60%,40%,16,5,6,3,121,85,89,42,3,1,7,1,8,12,10,5,0,2,2,4,12,7,2,2
premier-league,Liverpool,Southampton,"[""31' Goal_Home - Mane S.(Salah M.)"", ""61' Yellow_Away - Redmond N.(Przytrzymywanie)"", ""90' Goal_Home - Alcantara T.(Firmino R.)""]",08.05.2021,21:15,2,0,Home,54%,46%,14,12,6,6,129,91,72,40,5,4,3,2,8,14,8,4,4,1,6,4,10,6,0,1
premier-league,Manchester City,Chelsea,"[""12' Yellow_Home - Sterling R.(Podcięcie)"", ""44' Goal_Home - Sterling R.(Aguero S.)"", ""45+3' Penalty_Missed_Home -  Aguero S.()"", ""63' Goal_Away - Ziyech H.(Azpilicueta C.)"", ""81' Var_Away"", ""90' Yellow_Home - Gabriel Jesus(Podcięcie)"", ""90+2' Goal_Away - Alonso M.(Werner T.)""]",08.05.2021,18:30,1,2,Away,48%,52%,16,12,4,5,108,78,39,41,6,4,6,3,14,13,6,2,1,5,3,3,12,10,2,0
premier-league,Sheffield Utd,Crystal Palace,"[""02' Goal_Away - Benteke C.(Eze E.)"", ""30' Yellow_Away - Ward J.(Podcięcie)"", ""38' Yellow_Home - Norwood O.(Podcięcie)"", ""88' Goal_Away - Eze E.(Cahill G.)""]",08.05.2021,16:00,0,2,Away,49%,51%,7,21,0,8,78,102,51,51,6,7,1,6,9,13,5,11,2,1,6,0,11,8,1,1
premier-league,Leeds,Tottenham,"[""13' Goal_Home - Dallas S."", ""25' Goal_Away - Son Heung-Min(Alli D.)"", ""42' Goal_Home - Bamford P.(Alioski E.)"", ""51' Yellow_Home - Koch R.(Podcięcie)"", ""61' Yellow_Away - Reguilon S.(Nadmierna ostrość)"", ""68' Yellow_Away - Lucas(Uderzenie łokciem)"", ""84' Goal_Home - Rodrigo(Raphinha)""]",08.05.2021,13:30,3,1,Home,53%,47%,16,11,7,3,109,110,61,44,5,4,4,4,10,14,8,6,1,2,2,4,12,10,1,2
premier-league,Leicester City,Newcastle United,"[""22' Goal_Away - Willock J."", ""34' Goal_Away - Dummett P.(Ritchie M.)"", ""56' Yellow_Away - Krafth E.(Podcięcie)"", ""64' Goal_Away - Wilson C."", ""72' Yellow_Home - Iheanacho K.(Nadmierna ostrość)"", ""73' Goal_Away - Wilson C."", ""80' Goal_Home - Albrighton M.(Vardy J.)"", ""87' Goal_Home - Iheanacho K.(Perez A.)""]",07.05.2021,21:00,2,4,Away,68%,32%,25,14,9,6,123,73,58,24,7,4,9,4,10,14,9,6,2,1,2,7,12,9,1,1
